Date,Ticker,Side,Price,Reason
2018-01-08,MELI,buy,328.1199951171875,score_20d_heavy
2018-01-08,TXN,buy,85.73714541924075,score_20d_heavy
2018-01-24,TXN,sell,89.04458561011899,stop
2018-01-29,NFLX,buy,27.420000076293945,score_20d_heavy
2018-02-05,MELI,sell,361.5325241088867,stop
2018-02-05,NFLX,sell,25.5145001411438,stop
2018-02-12,NFLX,buy,25.214000701904297,score_20d_heavy
2018-02-12,SHOP,buy,12.329999923706055,score_20d_heavy
2018-03-23,NFLX,sell,30.04399871826172,stop
2018-03-26,PANW,buy,30.816667556762695,score_20d_heavy
2018-03-26,SHOP,sell,13.89567494392395,stop
2018-03-28,PANW,sell,29.275298254830496,stop
2018-04-02,PANW,buy,29.99333381652832,score_20d_heavy
2018-04-02,INTC,buy,43.68794831234447,score_20d_heavy
2018-06-07,PANW,sell,33.122084617614746,stop
2018-06-11,AMD,buy,15.210000038146973,score_20d_heavy
2018-06-18,INTC,sell,45.94199759170968,stop
2018-06-25,NFLX,buy,40.46900177001953,score_20d_heavy
2018-06-25,AMD,sell,14.674999475479126,stop
2018-07-02,TSLA,buy,24.004667282104492,score_20d_heavy
2018-07-03,TSLA,sell,21.2656192779541,stop
2018-07-09,AMD,buy,16.729999542236328,score_20d_heavy
2018-07-17,NFLX,sell,37.46549987792969,stop
2018-07-23,MELI,buy,373.79998779296875,score_20d_heavy
2018-08-02,MELI,sell,337.7696326119559,stop
2018-08-06,REGN,buy,390.77251372684697,score_20d_heavy
2018-08-08,REGN,sell,366.90888881931943,stop
2018-08-13,MDB,buy,63.79999923706055,score_20d_heavy
2018-10-02,MDB,sell,74.91349792480469,stop
2018-10-03,AMD,sell,27.994799499511718,stop
2018-10-08,AAPL,buy,52.53978898349141,score_20d_heavy
2018-10-08,CSCO,buy,38.461183647305916,score_20d_heavy
2018-10-10,AAPL,sell,51.1566047668457,sma50_exit
2018-10-10,CSCO,sell,37.06281152879774,stop
2018-10-15,SBUX,buy,47.593344810857516,score_20d_heavy
2018-10-22,WMT,buy,28.952004435074368,score_20d_heavy
2018-10-29,SBUX,sell,49.54368308815701,weekly_rotation
