Date,Ticker,Side,Price,Reason
2018-01-08,MELI,buy,328.1199951171875,stop_tight
2018-01-08,TXN,buy,85.73714541924075,stop_tight
2018-01-17,TXN,sell,90.55488383119166,stop
2018-01-22,ISRG,buy,145.0,stop_tight
2018-01-26,ISRG,sell,141.37381308419364,stop
2018-01-29,NFLX,buy,27.420000076293945,stop_tight
2018-02-01,NFLX,sell,26.41921431677682,stop
2018-02-02,MELI,sell,371.28609248570035,stop
2018-02-05,NFLX,buy,26.200000762939453,stop_tight
2018-02-05,MELI,buy,363.1000061035156,stop_tight
2018-02-06,MELI,sell,344.37428065708707,stop
2018-02-09,NFLX,sell,24.13035808290754,stop
2018-02-12,NFLX,buy,25.214000701904297,stop_tight
2018-02-12,SHOP,buy,12.329999923706055,stop_tight
2018-03-22,NFLX,sell,30.818356105259486,stop
2018-03-23,SHOP,sell,14.348910774503436,stop
2018-03-26,PANW,buy,30.816667556762695,stop_tight
2018-03-27,PANW,sell,29.82684530530657,stop
2018-04-02,PANW,buy,29.99333381652832,stop_tight
2018-04-02,INTC,buy,43.6879402509502,stop_tight
2018-04-10,PANW,sell,30.601786885942733,stop
2018-04-16,ADBE,buy,226.0800018310547,stop_tight
2018-04-24,ADBE,sell,218.38606807163782,stop
2018-04-30,PANW,buy,32.02000045776367,stop_tight
2018-04-30,INTC,sell,43.588320826172975,stop
2018-05-07,INTU,buy,180.191429972016,stop_tight
2018-05-23,INTU,sell,178.11753596445138,stop
2018-05-29,MU,buy,59.843622834965686,stop_tight
2018-05-31,MU,sell,57.18945545714412,stop
2018-06-04,AMD,buy,14.760000228881836,stop_tight
2018-06-04,PANW,sell,33.88196495601109,stop
2018-06-08,AMD,sell,14.703928300312587,stop
2018-06-11,MU,buy,60.18497062642742,stop_tight
2018-06-11,SHOP,buy,16.31999969482422,stop_tight
2018-06-22,MU,sell,56.213115962453465,stop
2018-06-22,SHOP,sell,16.13366048676627,stop
2018-06-25,AMD,buy,15.640000343322754,stop_tight
2018-06-25,NFLX,buy,40.46900177001953,stop_tight
2018-07-17,NFLX,sell,38.754500252859934,stop
2018-07-23,MELI,buy,373.79998779296875,stop_tight
2018-07-25,AMD,sell,15.732142959322248,stop
2018-07-30,AMD,buy,19.399999618530273,stop_tight
2018-08-02,MELI,sell,338.9496558053153,stop
2018-08-02,AMD,sell,18.167500393731252,stop
2018-08-06,AMD,buy,18.889999389648438,stop_tight
2018-08-06,REGN,buy,390.77248290021925,stop_tight
