Date,Ticker,Side,Price,Reason
2018-01-08,MELI,buy,328.1199951171875,turbo_momentum
2018-01-08,TXN,buy,85.73714541924075,turbo_momentum
2018-01-24,TXN,sell,89.04461251911458,stop
2018-01-29,NFLX,buy,27.420000076293945,turbo_momentum
2018-02-05,MELI,sell,351.989990234375,risk_defensive_exit
2018-02-05,NFLX,sell,25.426000595092773,risk_defensive_exit
2018-02-05,MELI,buy,363.1000061035156,turbo_momentum
2018-02-05,NFLX,buy,26.200000762939453,turbo_momentum
2018-02-07,MELI,sell,343.54998779296875,risk_defensive_exit
2018-02-07,NFLX,sell,26.45599937438965,risk_defensive_exit
2018-02-12,NFLX,buy,25.214000701904297,turbo_momentum
2018-02-12,SHOP,buy,12.329999923706055,turbo_momentum
2018-03-22,NFLX,sell,30.670000076293945,risk_defensive_exit
2018-03-22,SHOP,sell,14.545000076293945,risk_defensive_exit
2018-03-26,PANW,buy,30.816667556762695,turbo_momentum
2018-03-27,PANW,sell,29.906667709350586,risk_defensive_exit
2018-04-02,PANW,buy,29.99333381652832,turbo_momentum
2018-04-02,INTC,buy,43.68793622025307,turbo_momentum
2018-04-03,PANW,sell,30.72833251953125,risk_defensive_exit
2018-04-03,INTC,sell,42.048274993896484,risk_defensive_exit
2018-04-09,PANW,buy,32.57833480834961,turbo_momentum
2018-04-09,ADBE,buy,220.0800018310547,turbo_momentum
2018-06-07,PANW,sell,33.122084617614746,stop
2018-06-11,AMD,buy,15.210000038146973,turbo_momentum
2018-06-22,ADBE,sell,243.75500869750977,stop
2018-06-25,NFLX,buy,40.46900177001953,turbo_momentum
2018-06-25,AMD,sell,14.674999475479126,stop
2018-06-27,NFLX,sell,39.03900146484375,risk_defensive_exit
2018-07-02,TSLA,buy,24.004667282104492,turbo_momentum
2018-07-02,NFLX,buy,38.54499816894531,turbo_momentum
2018-07-03,TSLA,sell,21.2656192779541,stop
2018-07-09,AMD,buy,16.729999542236328,turbo_momentum
2018-07-17,NFLX,sell,37.46549987792969,stop
2018-07-23,MELI,buy,373.79998779296875,turbo_momentum
2018-08-02,MELI,sell,337.7696326119559,stop
2018-08-06,REGN,buy,391.3560926169601,turbo_momentum
2018-08-08,REGN,sell,367.456825588824,stop
2018-08-13,MDB,buy,63.79999923706055,turbo_momentum
2018-10-02,MDB,sell,74.91349792480469,stop
2018-10-03,AMD,sell,27.994799499511718,stop
2018-10-08,AAPL,buy,52.58817442770608,turbo_momentum
2018-10-08,CSCO,buy,38.46117980049859,turbo_momentum
2018-10-10,AAPL,sell,51.20372009277344,risk_defensive_exit
2018-10-10,CSCO,sell,36.62318801879883,risk_defensive_exit
2018-10-15,SBUX,buy,47.87230989534437,turbo_momentum
2018-10-19,SBUX,sell,49.81708526611328,risk_defensive_exit
2018-10-22,SBUX,buy,50.04639249410557,turbo_momentum
2018-10-22,WMT,buy,29.007255589613447,turbo_momentum
2018-10-23,SBUX,sell,49.94447708129883,risk_defensive_exit
2018-10-23,WMT,sell,29.144338607788086,risk_defensive_exit
2019-02-19,MDB,buy,100.4000015258789,turbo_momentum
2019-02-19,LRCX,buy,16.481472749589987,turbo_momentum
2019-02-26,MDB,sell,97.54924774169922,stop
2019-03-04,ZS,buy,60.61000061035156,turbo_momentum
2019-03-06,LRCX,sell,15.575601906568021,stop
